Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
0.0;0;0.57;0.13;7.0;0.42;0.5825;0.75;0.06;3.0;0.26;0.0;0.29;0.1;5.0;0.43;0.7935
1.0;0;0.93;0.07;5.0;0.23;0.34500000000000003;1.0;0.03;2.0;0.13;0.655;1.0;0.078;4.0;0.34;0.45
0.0;1;0.86;0.04;3.0;0.13;0.0;0.5;0.04;2.0;0.17;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0;0.79;0.15;8.0;0.48;0.826;1.0;0.04;2.0;0.17;0.4285;0.71;0.02;1.0;0.09;0.6065
0.0;0;0.93;0.1255;8.0;0.4;0.55;1.0;0.1015;4.0;0.44;0.505;1.0;0.155;6.0;0.67;0.7
0.0;0;0.86;0.136;7.0;0.44;0.8;1.0;0.06;3.0;0.26;0.9;1.0;0.08;4.0;0.35;0.85
1.0;0;0.86;0.16;8.0;0.52;0.75;1.0;0.06;3.0;0.26;0.85;1.0;0.1;5.0;0.43;0.9
1.0;1;0.86;0.03;3.0;0.1;0.1795;0.5;0.028999999999999998;2.0;0.13;0.254;0.57;0.0;0.0;0.0;0.2165
0.0;1;0.29;0.0055000000000000005;4.0;0.02;0.24;0.25;0.0225;3.0;0.1;0.49000000000000005;0.71;0.077;5.0;0.33;0.0
1.0;1;0.71;0.06;4.0;0.19;0.4;0.25;0.0;0.0;0.0;0.45;0.71;0.0;0.0;0.0;0.4
0.0;0;1.0;0.2;9.0;0.65;0.65;1.0;0.06;3.0;0.26;0.7;1.0;0.14;6.0;0.61;0.8
1.0;0;0.86;0.14;8.0;0.45;0.796;0.5;0.03;2.0;0.13;0.757;0.86;0.02;1.0;0.09;0.786
